2022-07-04 03:35:23 INFO  FileScanRDD:54 - Reading File path: file:///home/rahul/bcg/Case_study/Data/Charges_use.csv, range: 0-5168134, partition values: [empty row]
2022-07-04 03:35:23 INFO  CodeGenerator:54 - Code generated in 17.332877 ms
2022-07-04 03:35:23 INFO  Executor:54 - Finished task 0.0 in stage 0.0 (TID 0). 1355 bytes result sent to driver
2022-07-04 03:35:23 INFO  TaskSetManager:54 - Finished task 0.0 in stage 0.0 (TID 0) in 222 ms on localhost (executor driver) (1/1)
2022-07-04 03:35:23 INFO  TaskSchedulerImpl:54 - Removed TaskSet 0.0, whose tasks have all completed, from pool 
2022-07-04 03:35:23 INFO  DAGScheduler:54 - ResultStage 0 (load at NativeMethodAccessorImpl.java:0) finished in 0.360 s
2022-07-04 03:35:23 INFO  DAGScheduler:54 - Job 0 finished: load at NativeMethodAccessorImpl.java:0, took 0.414650 s
2022-07-04 03:35:23 INFO  FileSourceStrategy:54 - Pruning directories with: 
2022-07-04 03:35:23 INFO  FileSourceStrategy:54 - Post-Scan Filters: 
2022-07-04 03:35:23 INFO  FileSourceStrategy:54 - Output Data Schema: struct<value: string>
2022-07-04 03:35:23 INFO  FileSourceScanExec:54 - Pushed Filters: 
2022-07-04 03:35:23 INFO  CodeGenerator:54 - Code generated in 17.272771 ms
2022-07-04 03:35:24 INFO  MemoryStore:54 - Block broadcast_2 stored as values in memory (estimated size 283.7 KB, free 365.7 MB)
2022-07-04 03:35:24 INFO  MemoryStore:54 - Block broadcast_2_piece0 stored as bytes in memory (estimated size 23.3 KB, free 365.7 MB)
2022-07-04 03:35:24 INFO  BlockManagerInfo:54 - Added broadcast_2_piece0 in memory on 192.168.1.10:37137 (size: 23.3 KB, free: 366.3 MB)
2022-07-04 03:35:24 INFO  SparkContext:54 - Created broadcast 2 from load at NativeMethodAccessorImpl.java:0
2022-07-04 03:35:24 INFO  FileSourceScanExec:54 - Planning scan with bin packing, max size: 5168134 bytes, open cost is considered as scanning 4194304 bytes.
2022-07-04 03:35:24 INFO  SparkContext:54 - Starting job: load at NativeMethodAccessorImpl.java:0
2022-07-04 03:35:24 INFO  DAGScheduler:54 - Got job 1 (load at NativeMethodAccessorImpl.java:0) with 4 output partitions
